Mean,Std,RMS,Kurtosis,Peak_to_Peak,Skewness,Crest_Factor,Shape_Factor,Impulse_Factor,Clearance_Factor,Dominant_frequency,Spectral_energy,Spectral_centroid,Spectral_entropy,Spectral_bandwidth,Peak_amplitude,label,file_name
0.012530980168269229,0.06641900108024837,0.06759074765436163,-0.10560478448976074,0.43475446153846153,-0.07592441357312377,3.3333647459672164,1.240411535656553,4.134744083448611,4.840699244764227,2103.515625,9910.164606060289,1060.5388807181653,5.755424168606182,1026.7357727416154,38.52021467267691,Normal,100.mat
0.012377676382211539,0.0644994609250888,0.06567638336761407,-0.15989509957517,0.41264123076923076,-0.1299166768881252,3.3797045124781353,1.242601221760818,4.199624956395881,4.941807679698421,2103.515625,9367.127533982792,1118.1870111634719,5.7874686648091025,1065.2796974780942,38.433732403239844,Normal,100.mat
0.013284155048076923,0.062347945140771285,0.06374743162369738,-0.19995743775431363,0.35381169230769227,-0.04112732777471472,2.8438286000432047,1.245825441311717,3.5429140206637073,4.170348129637496,2103.515625,8892.35196769197,1107.2767737672639,5.7485528868163085,1070.9637366827476,39.10872903742951,Normal,100.mat
0.011394596754807692,0.0639541064777302,0.06496125437958788,-0.0915291221229948,0.404088,-0.19111793018402212,3.2242272436731065,1.2415251181907798,4.002959109775186,4.6986554420788975,2103.515625,9122.195156494634,1116.7262501023777,5.7663862495090745,1040.6664960204646,38.88509184450385,Normal,100.mat
0.011194232271634614,0.06510638690126941,0.06606173212601293,-0.003992312234604167,0.42348923076923073,-0.04713361191737749,3.4578845997877856,1.2558995694321098,4.342755780019403,5.151807153552921,2103.515625,9415.088394927488,1110.515487230697,5.765012607807092,1072.6691431523222,38.57492805426922,Normal,100.mat
0.014049146033653846,0.0666772305356738,0.06814126192097063,0.04858185915289148,0.4433076923076923,-0.04429959564984724,3.5544170259037005,1.2565654430522066,4.466357604946991,5.294131187670878,2103.515625,10151.4956825255,1064.6863836007951,5.722972416580005,1048.7360905132698,38.75447327505493,Normal,100.mat
0.012409559495192308,0.06272329106648875,0.06393909922008742,-0.1402373659477245,0.39636923076923075,-0.0950550993164131,3.481322353610584,1.2431270535304573,4.327725999833642,5.086623433081926,2103.515625,8896.550397599873,1097.788722786524,5.735963862121609,1062.1355266486507,38.71983095658891,Normal,100.mat
0.01507327644230769,0.06303352903713921,0.06481072014398621,-0.12407321844168573,0.4220289230769231,-0.11621236185232345,3.6984479788305302,1.2415534169875262,4.591820725667654,5.402432771409424,2103.515625,9285.42123821893,1143.129255510254,5.753672359060575,1094.0083221385837,39.553799654881345,Normal,100.mat
0.014841741887019231,0.06276346525804852,0.06449441738196542,-0.05248455190064272,0.4063827692307692,-0.1629851942151971,3.5580897136856957,1.2349278325036446,4.393984017975389,5.134230003352317,2103.515625,9185.121396392116,1090.1593143655057,5.747581039626617,1039.201302186,37.408769076370795,Normal,100.mat
0.01381669471153846,0.06724304673291998,0.06864785784478285,0.06395261445814038,0.47960676923076917,-0.18276122921698004,3.658860319353897,1.242979344652904,4.547887801927022,5.328117595060631,2103.515625,10283.239460801009,1125.3888214607991,5.796121556088766,1078.078983683851,38.204037161912666,Normal,100.mat
